id,deleted,type,subtype,activity
1,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF PALAY (IRRIGATED, RAINFED, UPLAND)"
2,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF PALAY, LOWLAND, IRRIGATED"
3,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF PALAY, LOWLAND, RAINFED"
4,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF PALAY, UPLAND/KAINGIN"
5,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF CORN, EXCEPT YOUNG CORN (VEGETABLE)"
6,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF COCONUT, COPRA, TUBA, COCO-SHELL CHARCOAL MAKING"
7,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,GROWING OF BANANA
8,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF BANANA, CAVENDISH"
9,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,GROWING OF OTHER BANANA
10,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF SUGARCANE, MUSCOVADO, SUGAR-MAKING IN THE FARM"
11,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF FRUITS (EXCEPT BANANA), NUTS"
12,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,GROWING OF PINEAPPLE
13,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,GROWING OF MANGO
14,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF CITRUS: CALAMANSI, ORANGE, POMELO"
15,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,GROWING OF GROUNDNUT (PEANUT)
16,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF EDIBLE NUTS, EXCEPT GROUNDNUT (PEANUT)"
17,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF OTHER FRUITS: GRAPES, OTHER FRUITS N.E.C"
18,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF ROOT, BULB, TUBEROUS VEGETABLES"
19,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF FRUIT-, FLOWER-BEARING VEGETABLE: TOMATO"
20,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,GROWING OF LEAFY AND STEM VEGETABLE 01 74 GROWING OF MONGO
21,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,GROWING OF SOYA BEAN
22,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF PEAS, BEANS, OTHER LEGUMINOUS VEGETABLES"
23,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF ROOT AND TUBER CROPS: CASSAVA, POTATO"
24,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF HORTICULTURAL SPECIALTIES, NURSERY PRODUCTS 01 81 GROWING OF COFFEE"
25,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,GROWING OF CACAO
26,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF TEA, OTHER BEVERAGE CROPS"
27,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF SPICE, CONDIMENT CROPS"
28,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,GROWING OF ABACA
29,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF FIBER CROPS (EXCEPT ABACA), COTTON"
30,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF TOBACCO, INCLUDING ITS PRELIMINAR PROCESSING"
31,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,GROWING OF RUBBER TREE
32,N,"AGRICULTURE, HUNTING, AND FORESTRY",GROWING OF CROPS,"GROWING OF OTHER CROPS: OIL PRODUCING CROPS, FORAGE CROPS"
33,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,MING OF ANIMALS
34,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,HOG FARMING
35,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,BEEF CATTLE FARMING (INCLUDING FEED LOT FATTENING)
36,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,CARABAO FARMING
37,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,HORSE/STUD FARMING
38,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,"SHEEP FARMING, SHEEP SHEARING BY OWNER"
39,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,GOAT FARMING
40,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,"LIVESTOCK FARMING (INCLUDING FEED LOT SERVICES), N.E.C"
41,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,CHICKEN BROILER PRODUCTION (OPERATION OF CHICKEN HATCHERIES)
42,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,DUCK BROILER FARMING
43,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,QUAIL FARMING
44,N,"AGRICULTURE, HUNTING, AND FORESTRY",FARMING OF ANIMALS,TURKEY FARMING
