question_id,answer,template,help_text
9,a) Properties carried at fair value,"Basis of preparation and presentation
These financial statements have been prepared using the historical cost accounting convention except for cetain properties carried at fair value ",
9,b) Financial instruments carried at fair value or amortized cost,"Basis of preparation and presentation
These financial statements have been prepared using the historical cost accounting convention except for financial instruments carried at fair value or amortized cost.",
9,c) Both,"Basis of preparation and presentation
These financial statements have been prepared using the historical cost accounting convention except for cetain properties carried at fair value and financial instruments carried at fair value or amortized cost.",
17,a) purchase cost,"Inventories
Inventories are stated at the lower of cost and estimated selling price less costs to complete and sell. Cost include all purchase cost.
The cost of finished goods and work in progress comprises packaging costs, raw materials, direct labor, other direct costs and related production overheads. At each reporting date, inventories are assessed for impairment. If inventory is impaired, the carrying amount is reduced to its selling price less costs to complete and sell; the impairment loss is recognized immediately in profit or loss.
When the circumstances that previously caused inventories to be impaired no longer exist or when there is clear evidence of an increase in selling price less costs to complete and sell because of changed economic circumstances, a reversal of the impairment is recognized so that the new carrying amount is the lower of the cost and the revised selling price less costs to complete and sell.  Any impairment reversal in recognized in profit or loss but is limited to the amount of the original impairment loss recognized.
When inventories are sold, the carrying amount of those inventories is recognized as an expense in the period in which the related revenue is recognized.",
17,b) purchase cost and cost of conversion,"Inventories
Inventories are stated at the lower of cost and estimated selling price less costs to complete and sell. Cost include all purchase cost and cost of conversion.
The cost of finished goods and work in progress comprises packaging costs, raw materials, direct labor, other direct costs and related production overheads. At each reporting date, inventories are assessed for impairment. If inventory is impaired, the carrying amount is reduced to its selling price less costs to complete and sell; the impairment loss is recognized immediately in profit or loss.
When the circumstances that previously caused inventories to be impaired no longer exist or when there is clear evidence of an increase in selling price less costs to complete and sell because of changed economic circumstances, a reversal of the impairment is recognized so that the new carrying amount is the lower of the cost and the revised selling price less costs to complete and sell.  Any impairment reversal in recognized in profit or loss but is limited to the amount of the original impairment loss recognized.
When inventories are sold, the carrying amount of those inventories is recognized as an expense in the period in which the related revenue is recognized.",
17,c) purchase cost and other related cost incurred in bringing the inventories to their present location and condition,"Inventories
Inventories are stated at the lower of cost and estimated selling price less costs to complete and sell. Cost include all purchase cost and other related cost incurred in bringing the inventories to their present location and condition.
The cost of finished goods and work in progress comprises packaging costs, raw materials, direct labor, other direct costs and related production overheads. At each reporting date, inventories are assessed for impairment. If inventory is impaired, the carrying amount is reduced to its selling price less costs to complete and sell; the impairment loss is recognized immediately in profit or loss.
When the circumstances that previously caused inventories to be impaired no longer exist or when there is clear evidence of an increase in selling price less costs to complete and sell because of changed economic circumstances, a reversal of the impairment is recognized so that the new carrying amount is the lower of the cost and the revised selling price less costs to complete and sell.  Any impairment reversal in recognized in profit or loss but is limited to the amount of the original impairment loss recognized.
When inventories are sold, the carrying amount of those inventories is recognized as an expense in the period in which the related revenue is recognized.",
17,"d) purchase cost, conversion cost and other related cost incurred in bringing the inventories to their present location and condition","Inventories
Inventories are stated at the lower of cost and estimated selling price less costs to complete and sell. Cost include allpurchase cost, conversion cost and other related cost incurred in bringing the inventories to their present location and condition.
The cost of finished goods and work in progress comprises packaging costs, raw materials, direct labor, other direct costs and related production overheads. At each reporting date, inventories are assessed for impairment. If inventory is impaired, the carrying amount is reduced to its selling price less costs to complete and sell; the impairment loss is recognized immediately in profit or loss.
When the circumstances that previously caused inventories to be impaired no longer exist or when there is clear evidence of an increase in selling price less costs to complete and sell because of changed economic circumstances, a reversal of the impairment is recognized so that the new carrying amount is the lower of the cost and the revised selling price less costs to complete and sell.  Any impairment reversal in recognized in profit or loss but is limited to the amount of the original impairment loss recognized.
When inventories are sold, the carrying amount of those inventories is recognized as an expense in the period in which the related revenue is recognized.",
18,a. Cost method,"Investment in Associates
An associate is an entity, including an unincorporated entity such as a partnership, over which the Company has significant influence and that is neither a subsidiary nor interest in a joint venture. The investment is accounted using the cost model other than those for which there is published price quotation which is measured using the fair value model or equity method.

Under this method, investment in associate is measured at cost less any accumulated impairment losses recognized in profit or loss. The company shall recognize dividends and other distributions as income without regard to whether the distributions are from accumulated profits of the associate arising before or after date of acquisition.

When an investment in an associate is recognized initially, the company shall measure it at the transaction price which do not include transaction cost. ","Section 14.5 Measure at cost less accumulated impairment loss. Except when there is a published price quotation, then fair value method is used."
18,b. Equity method,"Investment in Associates
An associate is an entity, including an unincorporated entity such as a partnership, over which the Company has significant influence and that is neither a subsidiary nor interest in a joint venture. The investment is accounted using the equity method other than those for which there is published price quotation which is measured using the fair value model.

Under this method, an equity instruments is initially recognized at the transaction price (including transaction costs) and is subsequently adjusted to reflect the company’s share of the profit or loss and other comprehensive income of the associate. 
When an investment in an associate is recognized initially, the company shall measure it at the transaction price which do not include transaction cost. ","Section 14.8 Under the equity method of accounting, an equity investment is initially recognised at the transaction price (including transaction costs) and is subsequently adjusted to reflect the investor’s share of the profit or loss and other comprehensive income of the associate. For more guidance on check IFRS for SMEs 14.8.a-i"
18,c. Fair value model,"Investment in Associates
An associate is an entity, including an unincorporated entity such as a partnership, over which the Company has significant influence and that is neither a subsidiary nor interest in a joint venture. The investment is accounted using the fair value model other than those for which there is published price quotation which is measured using the equity method

When an investment in an associate is recognized initially, the company shall measure it at the transaction price which do not include transaction cost. 
At each reporting date, an investor shall measure its investment in associate at fair value, with the changes in fair value recognized in profit or loss. The company shall use the cost model for any
investment in an associate for which it is impracticable to measure fair value without undue cost or effort. 
",
